"LAST_UPDATE","COUNTRY_REGION","PROVINCE_STATE","CONFIRMED","DEATHS","RECOVERED","ACTIVE"
"2020-04-22 00:00:00","US","Texas","21321","556","0","20765"
"2020-04-22 00:00:00","US","Wisconsin","4845","248","0","4597"
"2020-04-24 00:00:00","US","Colorado","11278","552","0","10726"
"2020-04-24 00:00:00","US","Minnesota","2942","200","0","2742"
"2020-04-24 00:00:00","US","Oklahoma","3017","179","0","2838"
"2020-04-24 00:00:00","US","Texas","22650","604","0","22046"
"2020-04-24 00:00:00","US","Wisconsin","5052","258","0","4794"
"2020-04-25 00:00:00","US","Colorado","12256","674","0","11582"
"2020-04-25 00:00:00","US","Minnesota","3185","221","0","2964"
"2020-04-25 00:00:00","US","Oklahoma","3121","188","0","2933"
"2020-04-25 00:00:00","US","Texas","23642","624","0","23018"
"2020-04-25 00:00:00","US","Wisconsin","5356","263","0","5093"
"2020-04-26 00:00:00","US","Colorado","12968","684","0","12284"
"2020-04-26 00:00:00","US","Minnesota","3446","244","0","3202"
"2020-04-26 00:00:00","US","Oklahoma","3194","194","0","3000"
"2020-04-26 00:00:00","US","Texas","24153","638","0","23515"
"2020-04-26 00:00:00","US","Wisconsin","5687","266","0","5421"
"2020-04-27 00:00:00","US","Colorado","13441","688","0","12753"
"2020-04-27 00:00:00","US","Minnesota","3602","272","0","3330"
"2020-04-27 00:00:00","US","Oklahoma","3254","195","0","3059"
"2020-04-27 00:00:00","US","Texas","24967","651","0","24316"
"2020-04-27 00:00:00","US","Wisconsin","5912","272","0","5640"
"2020-04-28 00:00:00","US","Colorado","13879","706","0","13173"
"2020-04-28 00:00:00","US","Minnesota","3811","286","0","3525"
"2020-04-28 00:00:00","US","Oklahoma","3281","197","0","3084"
"2020-04-28 00:00:00","US","Texas","25321","666","0","24655"
"2020-04-28 00:00:00","US","Wisconsin","6081","281","0","5800"
"2020-04-29 00:00:00","US","Colorado","14316","736","0","13580"
"2020-04-29 00:00:00","US","Minnesota","4181","301","0","3880"
"2020-04-29 00:00:00","US","Oklahoma","3410","207","0","3203"
"2020-04-29 00:00:00","US","Texas","26357","719","0","25638"
"2020-04-29 00:00:00","US","Wisconsin","6289","300","0","5989"
"2020-04-30 00:00:00","US","Colorado","14758","766","0","13992"
"2020-04-30 00:00:00","US","Minnesota","4644","319","0","4325"
"2020-04-30 00:00:00","US","Oklahoma","3473","214","0","3259"
"2020-04-30 00:00:00","US","Texas","27257","754","0","26503"
"2020-04-30 00:00:00","US","Wisconsin","6520","308","0","6212"
"2020-05-01 00:00:00","US","Colorado","15284","777","0","14507"
"2020-05-01 00:00:00","US","Minnesota","5136","343","0","4793"
"2020-05-01 00:00:00","US","Oklahoma","3618","222","0","3396"
"2020-05-01 00:00:00","US","Texas","28727","812","0","27915"
"2020-05-01 00:00:00","US","Wisconsin","6854","316","0","6538"
"2020-05-02 00:00:00","US","Colorado","15793","821","0","14972"
"2020-05-02 00:00:00","US","Minnesota","5730","370","0","5360"
"2020-05-02 00:00:00","US","Oklahoma","3748","230","0","3518"
"2020-05-02 00:00:00","US","Texas","29692","840","0","28852"
"2020-05-02 00:00:00","US","Wisconsin","7314","327","0","6987"
"2020-05-03 00:00:00","US","Colorado","16225","832","0","15393"
"2020-05-03 00:00:00","US","Minnesota","6232","394","0","5838"
"2020-05-03 00:00:00","US","Oklahoma","3851","238","0","3613"
"2020-05-03 00:00:00","US","Texas","30917","863","0","30054"
"2020-05-03 00:00:00","US","Wisconsin","7660","334","0","7326"
"2020-05-04 00:00:00","US","Colorado","16635","842","0","15793"
"2020-05-04 00:00:00","US","Minnesota","6663","418","0","6245"
"2020-05-04 00:00:00","US","Oklahoma","3972","238","0","3734"
"2020-05-04 00:00:00","US","Texas","31998","878","0","31120"
"2020-05-04 00:00:00","US","Wisconsin","7964","339","0","7625"
"2020-05-05 00:00:00","US","Colorado","16918","851","0","16067"
"2020-05-05 00:00:00","US","Minnesota","7234","427","0","6807"
"2020-05-05 00:00:00","US","Oklahoma","4044","238","0","3806"
"2020-05-05 00:00:00","US","Texas","32783","901","0","31882"
"2020-05-05 00:00:00","US","Wisconsin","8236","340","0","7896"
"2020-05-06 00:00:00","US","Colorado","17367","903","0","16464"
"2020-05-06 00:00:00","US","Minnesota","7851","455","0","7396"
"2020-05-06 00:00:00","US","Oklahoma","4127","247","0","3880"
"2020-05-06 00:00:00","US","Texas","33912","925","0","32987"
"2020-05-06 00:00:00","US","Wisconsin","8566","353","0","8213"
"2020-05-07 00:00:00","US","Colorado","17832","919","0","16913"
"2020-05-07 00:00:00","US","Minnesota","8579","485","0","8094"
"2020-05-07 00:00:00","US","Oklahoma","4202","253","0","3949"
"2020-05-07 00:00:00","US","Texas","34928","954","0","33974"
"2020-05-07 00:00:00","US","Wisconsin","8901","362","0","8539"
"2020-05-08 00:00:00","US","Colorado","18370","944","0","17426"
"2020-05-08 00:00:00","US","Minnesota","9365","508","0","8857"
"2020-05-08 00:00:00","US","Oklahoma","4330","260","0","4070"
"2020-05-08 00:00:00","US","Texas","36036","985","0","35051"
"2020-05-08 00:00:00","US","Wisconsin","9215","374","0","8841"
"2020-05-09 00:00:00","US","Colorado","18827","960","0","17867"
"2020-05-09 00:00:00","US","Minnesota","10088","534","0","9554"
"2020-05-09 00:00:00","US","Oklahoma","4424","266","0","4158"
"2020-05-09 00:00:00","US","Texas","37246","1025","0","36221"
"2020-05-09 00:00:00","US","Wisconsin","9590","384","0","9206"
"2020-05-10 00:00:00","US","Colorado","19375","967","0","18408"
"2020-05-10 00:00:00","US","Minnesota","10790","558","0","10232"
